X	Y	Z
5545184.366	7421874.036	177.8801153904
5545184.365	7421874.116	177.89180491439998
5545184.364	7421874.156	177.8969049144
5545184.364	7421874.196	177.89995139040002
5545184.333	7421874.195	177.9359793904
5545184.333	7421874.195	177.9502667808
5545184.334	7421874.155	177.952464
5545184.304	7421874.095	177.9288307808
5545184.304	7421874.036	177.9661563048
5545184.306	7421873.956	177.9599153904
5545184.306	7421873.896000001	177.9367283048
5545184.307	7421873.837	177.9062049144
5545184.277000001	7421873.796	177.8727206096
5545184.277000001	7421873.776000001	177.8674769144
5545184.277000001	7421873.776000001	177.8304
5545184.277000001	7421873.796	177.82265139039998
5545184.277000001	7421873.816000001	177.84708739040002
5545184.276000001	7421873.856000001	177.87731539039999
5545184.306	7421873.896000001	177.8345436952
5545184.337	7421873.917	177.8259
5545184.336	7421873.956	177.804664
5545184.367000001	7421873.997	177.806964
5545184.366	7421874.017000001	177.8411409144
5545184.427999999	7421874.017000001	177.82030491439997
5545184.46	7421873.977999999	177.79477169519998
5545184.522999999	7421873.899	177.7966667808
5545184.585	7421873.841	177.81255908560001
5545184.617000001	7421873.801	177.85352830480002
5545184.649	7421873.742000001	177.8468793904
5545184.68	7421873.682999999	177.8495793904
5545184.744	7421873.584	177.83903078080002
5545184.807	7421873.4860000005	177.8234436952
5545184.931	7421873.448	177.5813126096
5545185.025	7421873.369	177.48867169520003
5545185.149	7421873.312000001	177.269164
5545185.274	7421873.234	177.2664153904
5545185.368	7421873.116	177.1672716952
5545185.37	7421872.976	177.1150667808
5545185.373	7421872.797	176.8612230856
5545185.469	7421872.6	176.8568409144
5545185.749	7421872.464	176.8184153904
5545186.09	7421872.39	176.6946950856
5545186.397000001	7421872.5139999995	176.5597283048
5545186.425	7421872.693	176.4380563048
5545186.482000001	7421873.032000001	176.4046307808
5545186.291	7421873.427999999	176.4694409144
5545186.192000001	7421873.884	176.60728739040002
5545186.029	7421874.438999999	176.7572436952
5545185.805	7421874.993	177.1176590856
5545185.64	7421875.687000001	177.3754436952
5545185.29	7421876.339	178.308536
5545184.971	7421877.05	179.2113833904
5545184.528	7421877.741	180.307368
5545184.085	7421878.451	180.6543396952
5545183.55	7421879.159	180.19389999999999
5545183.044	7421879.908	179.7629793904
5545182.447000001	7421880.636	179.2527116952
5545181.88	7421881.384	178.8637206096
5545181.311000001	7421882.211	178.33077169519999
5545180.743	7421883.039	178.0719409144
5545180.205	7421883.947000001	177.81655139039998
5545179.696	7421884.895	177.6959846096
5545179.249	7421885.882999999	177.29045630480002
5545178.77	7421886.931	176.8657230856
5545178.353999999	7421887.94	176.0976436952
5545177.906	7421889.028	175.5252563048
5545177.489	7421890.057	174.56641089519997
5545177.132999999	7421891.166	173.9647518096
5545176.746	7421892.255	173.075392724
5545176.4520000005	7421893.365	172.5308441144
5545176.096	7421894.475	171.624592724
5545175.771000001	7421895.563999999	171.1609769144
5545175.445	7421896.694	170.573061524
5545175.121	7421897.744	170.15958182880001
5545174.734	7421898.852999999	169.6167381336
5545174.441000001	7421899.884	169.22089721920003
5545174.022999999	7421901.012	168.8163563048
5545173.728999999	7421902.062999999	168.45659999999998
5545173.28	7421903.17	168.00274860960002
5545172.956	7421904.24	167.5647846096
5545172.568	7421905.409	167.1332178288
5545172.243	7421906.518999999	166.920161524
5545171.948	7421907.669	166.75391782879998
5545171.654	7421908.779	166.7126
5545171.42	7421909.97	166.63773813359998
5545171.187000001	7421911.101	166.59677413359998
5545170.953	7421912.311000001	166.48504582880003
5545170.751	7421913.4629999995	166.3739692192
5545170.393999999	7421914.652000001	166.3146101336
5545170.16	7421915.822000001	166.24544860959998
5545169.802999999	7421916.991	166.3188101336
5545169.6	7421918.203	166.41304860960003
5545169.2129999995	7421919.371	166.4658
5545168.948	7421920.561000001	166.53891782879998
5545168.591	7421921.73	166.51911260960003
5545168.234	7421922.88	166.53561782879999
5545167.908	7421924.069	166.75705630480002
5545167.551	7421925.217999999	166.8935818288
5545167.225	7421926.407000001	167.3254818288
5545166.807	7421927.496	167.46799721920002
5545166.42	7421928.664	167.663564
5545165.941000001	7421929.732000001	167.48793813359998
5545165.552999999	7421930.881	167.220953524
