	X	Y	H
2015_1572	5545133.5357	7421955.6026	168.153564
2015_1573	5545134.1626	7421956.6298	168.2060846096
2015_1574	5545134.8267	7421957.5744	168.2274692192
2015_1575	5545135.5	7421958.6076	168.26749721919998
2015_1576	5545136.1606	7421959.5864	168.3185692192
2015_1577	5545136.908	7421960.6043	172.381464
2015_1578	5545137.6336	7421961.5517	172.3134923048
2015_1579	5545138.4145	7421962.5823	172.2660818288
2015_1580	5545139.2622	7421963.458	172.2750178288
2015_1581	5545140.0985	7421964.4651	172.303864
2015_1582	5545141.0511	7421965.2843	172.2376126096
2015_1583	5545141.9922	7421966.1901	172.005464
2015_1584	5545142.9779	7421966.9887	171.8293486096
2015_1585	5545144.0486	7421967.7885	171.6148332192
2015_1586	5545145.1222	7421968.5325	171.3468923048
2015_1587	5545146.1299	7421969.3734	170.0000178288
2015_1588	5545147.1791	7421970.2282	169.878189524
2015_1589	5545148.1231	7421971.0764	169.9200769144
2015_1590	5545148.98	7421971.9922	169.9953126096
2015_1591	5545149.7431	7421972.8642	169.88369721919997
2015_1592	5545150.5388	7421973.8288	169.7740126096
2015_1593	5545151.2713	7421974.7213	169.700264
2015_1594	5545152.0102	7421975.7093	169.8230818288
2015_1595	5545152.7001	7421976.6186	169.86575630480002
2015_1596	5545153.4002	7421977.609	169.7449769144
2015_1597	5545154.0728	7421978.5487	169.77710000000002
2015_1598	5545154.722	7421979.5301	169.79754860959997
2015_1599	5545155.3633	7421980.4975	169.69776921919998
2015_1600	5545156.0555	7421981.4647	169.5460563048
2015_1601	5545156.6883	7421982.4245	169.5872818288
2015_1602	5545157.3774	7421983.3942	169.6007741336
2015_1603	5545158.0247	7421984.3452	169.51762830479998
2015_1604	5545158.8443	7421985.2397	169.5673049144
2015_1605	5545159.6487	7421986.0713	169.679425524
2015_1606	5545160.4373	7421986.9106	169.78202060959998
2015_1607	5545161.3404	7421987.6838	169.75503321920002
2015_1608	5545162.1577	7421988.4719	169.7436769144
2015_1609	5545163.1282	7421989.225	169.780353524
2015_1610	5545163.8787	7421990.1209	169.87779999999998
2015_1611	5545164.456	7421991.0883	170.1814
2015_1612	5545164.9546	7421992.1061	170.53267413359998
2015_1613	5545165.2854	7421993.1249	170.5333818288
2015_1614	5545165.4709	7421994.1412	170.4585846096
2015_1615	5545165.6274	7421995.118	170.33624582879997
2015_1616	5545165.5969	7421996.0422	170.3259
2015_1617	5545165.6529	7421996.9846	170.36397691439998
2015_1618	5545165.4871	7421997.9096	170.4697049144
2015_1619	5545165.4115	7421998.8419	170.4966818288
2015_1620	5545165.2325	7421999.8255	170.41582830480002
2015_1621	5545165.0984	7422000.8444	170.5130458288
2015_1622	5545164.9632	7422001.8551	170.66298952399998
2015_1623	5545164.9676	7422002.9888	170.7295332192
2015_1624	5545165.0678	7422004.0401	170.86790491440001
2015_1625	5545165.0841	7422005.2056	170.783353524
2015_1626	5545165.3543	7422006.3166	170.65888182880002
2015_1627	5545165.5728	7422007.4757	170.4865049144
2015_1628	5545165.8785	7422008.6029	170.3414769144
2015_1629	5545166.2308	7422009.7962	170.3198
2015_1630	5545166.7428	7422010.9456	170.39896921919998
2015_1631	5545167.1852	7422012.1444	170.5152486096
2015_1632	5545167.5833	7422013.3669	170.45790491440002
2015_1633	5545168.1106	7422014.5982	170.5074381336
2015_1634	5545168.6101	7422015.8025	170.613764
2015_1635	5545169.0146	7422017.049	170.83158460960001
2015_1636	5545169.4878	7422018.2943	170.9018283048
2015_1637	5545169.8681	7422019.5413	170.8508692192
2015_1638	5545170.2681	7422020.79	170.7313409144
2015_1639	5545170.7939	7422022.0237	170.61857413360002
2015_1640	5545171.2285	7422023.2524	170.39351260959998
2015_1641	5545171.4946	7422024.544	170.1907458288
2015_1642	5545171.6822	7422025.7696	169.9064818288
2015_1643	5545171.688	7422026.9247	169.65104860960002
2015_1644	5545171.5237	7422028.0279	169.47359999999998
2015_1645	5545171.3076	7422029.0519	169.381925524
2015_1646	5545170.927	7422029.9996	169.41671260959998
2015_1647	5545170.5173	7422030.9802	169.39242830479998
2015_1648	5545170.0934	7422031.988	169.35804860960002
2015_1649	5545169.5629	7422032.9526	169.31597413359998
2015_1650	5545169.05	7422033.9442	169.3088769144
2015_1651	5545168.4184	7422034.84	169.32757413360002
2015_1652	5545167.8202	7422035.8542	169.32687413360003
2015_1653	5545167.1378	7422036.7852	169.34596399999998
2015_1654	5545166.4769	7422037.7902	169.365653524
2015_1655	5545165.7748	7422038.7612	169.3728972192
